,data_type_code,time_slot_id,seasonally_adj,category_code,cell_value,time
273,E_MPCSM,721,no,4453,0.5,2010-01
274,SM,721,yes,4453,3394,2010-01
275,MPCSM,721,yes,4453,-1.1,2010-01
276,E_SM,721,yes,4453,2.1,2010-01
277,E_MPCSM,721,yes,4453,0.5,2010-01
278,MPCSM,721,no,446,-12.3,2010-01
279,SM,721,no,446,20721,2010-01
280,E_SM,721,no,446,1.6,2010-01
281,E_MPCSM,721,no,446,0.3,2010-01
282,SM,721,yes,446,21144,2010-01
283,MPCSM,721,yes,446,-0.2,2010-01
284,E_SM,721,yes,446,1.6,2010-01
285,E_MPCSM,721,yes,446,0.3,2010-01
286,MPCSM,721,no,44611,-10.9,2010-01
287,SM,721,no,44611,17874,2010-01
288,E_SM,721,no,44611,1.7,2010-01
289,E_MPCSM,721,no,44611,0.3,2010-01
290,SM,721,yes,44611,18109,2010-01
291,MPCSM,721,yes,44611,-0.5,2010-01
292,E_SM,721,yes,44611,1.7,2010-01
293,E_MPCSM,721,yes,44611,0.3,2010-01
294,MPCSM,721,no,447,-3.1,2010-01
295,SM,721,no,447,34145,2010-01
296,E_SM,721,no,447,2.4,2010-01
297,E_MPCSM,721,no,447,0.4,2010-01
298,SM,721,yes,447,37358,2010-01
299,MPCSM,721,yes,447,0.5,2010-01
300,E_SM,721,yes,447,2.4,2010-01
301,E_MPCSM,721,yes,447,0.4,2010-01
302,MPCSM,721,no,448,-51.3,2010-01
303,MPCIM,721,no,448,-0.8,2010-01
304,SM,721,no,448,13216,2010-01
305,IM,721,no,448,37985,2010-01
306,IR,721,no,448,2.87,2010-01
307,E_SM,721,no,448,2.6,2010-01
308,E_IR,721,no,448,0.06,2010-01
309,E_MPCIM,721,no,448,0.2,2010-01
310,E_MPCSM,721,no,448,0.5,2010-01
311,E_IM,721,no,448,2.5,2010-01
312,MPCIM,721,yes,448,-0.6,2010-01
313,IR,721,yes,448,2.34,2010-01
314,SM,721,yes,448,17346,2010-01
315,MPCSM,721,yes,448,1.3,2010-01
316,IM,721,yes,448,40582,2010-01
317,E_SM,721,yes,448,2.6,2010-01
318,E_IR,721,yes,448,0.06,2010-01
319,E_MPCIM,721,yes,448,0.2,2010-01
320,E_MPCSM,721,yes,448,0.5,2010-01
321,E_IM,721,yes,448,2.5,2010-01
322,MPCSM,721,no,4481,-47.1,2010-01
323,SM,721,no,4481,9902,2010-01
324,E_SM,721,no,4481,3.4,2010-01
325,E_MPCSM,721,no,4481,0.3,2010-01
326,SM,721,yes,4481,12860,2010-01
327,MPCSM,721,yes,4481,2.1,2010-01
328,E_SM,721,yes,4481,3.4,2010-01
329,E_MPCSM,721,yes,4481,0.3,2010-01
330,SM,721,no,44811,476,2010-01
331,MPCSM,721,no,44811,-48.8,2010-01
332,E_SM,721,no,44811,2.9,2010-01
