month,year,amount,dt_unit,dt_code,dt_desc,cat_code,cat_desc,monthyear
Sep,2016,38939,MLN$,SM,Sales - Monthly,4541,4541: Electronic Shopping and Mail-order Houses,16-Sep
Oct,2016,39486,MLN$,SM,Sales - Monthly,4541,4541: Electronic Shopping and Mail-order Houses,16-Oct
Nov,2016,48591,MLN$,SM,Sales - Monthly,4541,4541: Electronic Shopping and Mail-order Houses,16-Nov
Dec,2016,61425,MLN$,SM,Sales - Monthly,4541,4541: Electronic Shopping and Mail-order Houses,16-Dec
Jan,2017,39971,MLN$,SM,Sales - Monthly,4541,4541: Electronic Shopping and Mail-order Houses,17-Jan
Feb,2017,37782,MLN$,SM,Sales - Monthly,4541,4541: Electronic Shopping and Mail-order Houses,17-Feb
Mar,2017,43957,MLN$,SM,Sales - Monthly,4541,4541: Electronic Shopping and Mail-order Houses,17-Mar
Apr,2017,41295,MLN$,SM,Sales - Monthly,4541,4541: Electronic Shopping and Mail-order Houses,17-Apr
May,2017,44958,MLN$,SM,Sales - Monthly,4541,4541: Electronic Shopping and Mail-order Houses,17-May
Jun,2017,43718,MLN$,SM,Sales - Monthly,4541,4541: Electronic Shopping and Mail-order Houses,17-Jun
Jul,2017,42851,MLN$,SM,Sales - Monthly,4541,4541: Electronic Shopping and Mail-order Houses,17-Jul
Aug,2017,45435,MLN$,SM,Sales - Monthly,4541,4541: Electronic Shopping and Mail-order Houses,17-Aug
Sep,2017,42636,MLN$,SM,Sales - Monthly,4541,4541: Electronic Shopping and Mail-order Houses,17-Sep
Oct,2017,44850,MLN$,SM,Sales - Monthly,4541,4541: Electronic Shopping and Mail-order Houses,17-Oct
Nov,2017,55947,MLN$,SM,Sales - Monthly,4541,4541: Electronic Shopping and Mail-order Houses,17-Nov
Dec,2017,67898,MLN$,SM,Sales - Monthly,4541,4541: Electronic Shopping and Mail-order Houses,17-Dec
Jan,2018,45236,MLN$,SM,Sales - Monthly,4541,4541: Electronic Shopping and Mail-order Houses,18-Jan
Feb,2018,42653,MLN$,SM,Sales - Monthly,4541,4541: Electronic Shopping and Mail-order Houses,18-Feb
Mar,2018,48414,MLN$,SM,Sales - Monthly,4541,4541: Electronic Shopping and Mail-order Houses,18-Mar
Apr,2018,47141,MLN$,SM,Sales - Monthly,4541,4541: Electronic Shopping and Mail-order Houses,18-Apr
May,2018,50407,MLN$,SM,Sales - Monthly,4541,4541: Electronic Shopping and Mail-order Houses,18-May
Jun,2018,47380,MLN$,SM,Sales - Monthly,4541,4541: Electronic Shopping and Mail-order Houses,18-Jun
Jul,2018,49349,MLN$,SM,Sales - Monthly,4541,4541: Electronic Shopping and Mail-order Houses,18-Jul
Aug,2018,50735,MLN$,SM,Sales - Monthly,4541,4541: Electronic Shopping and Mail-order Houses,18-Aug
Sep,2018,47028,MLN$,SM,Sales - Monthly,4541,4541: Electronic Shopping and Mail-order Houses,18-Sep
Oct,2018,52236,MLN$,SM,Sales - Monthly,4541,4541: Electronic Shopping and Mail-order Houses,18-Oct
Nov,2018,63881,MLN$,SM,Sales - Monthly,4541,4541: Electronic Shopping and Mail-order Houses,18-Nov
Dec,2018,67283,MLN$,SM,Sales - Monthly,4541,4541: Electronic Shopping and Mail-order Houses,18-Dec
Jan,2019,51647,MLN$,SM,Sales - Monthly,4541,4541: Electronic Shopping and Mail-order Houses,19-Jan
Feb,2019,48295,MLN$,SM,Sales - Monthly,4541,4541: Electronic Shopping and Mail-order Houses,19-Feb
Mar,2019,52458,MLN$,SM,Sales - Monthly,4541,4541: Electronic Shopping and Mail-order Houses,19-Mar
Apr,2019,54612,MLN$,SM,Sales - Monthly,4541,4541: Electronic Shopping and Mail-order Houses,19-Apr
May,2019,58855,MLN$,SM,Sales - Monthly,4541,4541: Electronic Shopping and Mail-order Houses,19-May
Jun,2019,54928,MLN$,SM,Sales - Monthly,4541,4541: Electronic Shopping and Mail-order Houses,19-Jun
Jul,2019,58814,MLN$,SM,Sales - Monthly,4541,4541: Electronic Shopping and Mail-order Houses,19-Jul
Aug,2019,58181,MLN$,SM,Sales - Monthly,4541,4541: Electronic Shopping and Mail-order Houses,19-Aug
Sep,2019,54922,MLN$,SM,Sales - Monthly,4541,4541: Electronic Shopping and Mail-order Houses,19-Sep
Oct,2019,60568,MLN$,SM,Sales - Monthly,4541,4541: Electronic Shopping and Mail-order Houses,19-Oct
Nov,2019,67037,MLN$,SM,Sales - Monthly,4541,4541: Electronic Shopping and Mail-order Houses,19-Nov
Dec,2019,85217,MLN$,SM,Sales - Monthly,4541,4541: Electronic Shopping and Mail-order Houses,19-Dec
Jan,2020,56350,MLN$,SM,Sales - Monthly,4541,4541: Electronic Shopping and Mail-order Houses,20-Jan
Feb,2020,53979,MLN$,SM,Sales - Monthly,4541,4541: Electronic Shopping and Mail-order Houses,20-Feb
Mar,2020,62588,MLN$,SM,Sales - Monthly,4541,4541: Electronic Shopping and Mail-order Houses,20-Mar
Apr,2020,69952,MLN$,SM,Sales - Monthly,4541,4541: Electronic Shopping and Mail-order Houses,20-Apr
